silname,newname
LtnCapDStrkHook,Dstrokehook
LtnSmBLftHook,blefthook
LtnLigSmFSmI,ligfi
LtnLigSmFSmL,ligfl
LtnLigSmFSmFSmI,ligffi
LtnSmLigFfi,ffi
LtnLigSmFSmFSmL,ligffl
LtnSmLigFfl,ffl
LtnLigSmFSmF,ligff
LtnSmLigFf,ff
CySmGheStrkDesc,gestrokedesc-cy
CyCapGheStrkDesc,Ggstrokedesc-cy
CombLtnSmInsularG,ginsularcomb
LtnSmIDotAbv,idotaccent
LtnSmIStrkRetrHook,istrokehookretroflex
LtnSmCapIOverSmSchwa,icapitalsmalloverschwa
CombLtnSmInsularR,rinsularcomb
CombLtnSmInsularT,tinsularcomb
LtnSmUpsilonOverSmSchwa,upsilonoverschwa
ModSmCapUBar,Usmallstrokemod
LtnCapRamsHorn,Ramshorn
CombLtnSmWBlw,wcombbelow
CombLtnSmTurnedWBlw,wturnedbelowcomb
LtnSmYOgonek,yogonek
SomSgn,SomSgn
CombLftParenBlw,parenleftbelowcomb
CombLftParenAbv,parenleftcomb
CombRtParenBlw,parenrightbelowcomb
CombRtParenAbv,parenrightcomb
CombSqBracketsAbv,squarebracketscomb
CombNumSgn,numsigncomb
CombTripleAcute,tripleacutecomb
CombCircumAcute,circumacutecomb
CombCircumGrave,circumgravecomb
CombCircumTilde,circumtildecomb
CombCircumHook,circumhookcomb
CombBreveAcute,breveacutecomb
CombBreveGrave,brevegravecomb
CombBreveTilde,brevetildecomb
CombBreveHook,brevehookcomb
CombKayanGraveAcute,kayangraveacutecomb
CombInvDblArchAbv,dblarchinvertedcomb
CombDblDiaer,doubledieresiscomb
CombPlusSgnAbv,pluscomb
CombDblPlusSgnBlw,doubleplusbelowcomb
CombDblPlusSgnAbv,doublepluscomb
TnLtrSpcFlatLeft,toneletterspaceflatleft
TnLtrSpcFlatRight,toneletterspaceflatright
TnLtrSpcPointLeft,toneletterspacepointleft
TnLtrSpcPointRight,toneletterspacepointright
TnLtrSpcDotLeft,toneletterspacedotleft
TnLtrSpcDotMiddle,toneletterspacedotmiddle
TnLtrSpcDotRight,toneletterspacedotright
TnLtrBar,toneletterbar
TnLtrSeg11,tonelettersegment11
TnLtrSeg12,tonelettersegment12
TnLtrSeg13,tonelettersegment13
TnLtrSeg14,tonelettersegment14
TnLtrSeg15,tonelettersegment15
TnLtrSeg21,tonelettersegment21
TnLtrSeg22,tonelettersegment22
TnLtrSeg23,tonelettersegment23
TnLtrSeg24,tonelettersegment24
TnLtrSeg25,tonelettersegment25
TnLtrSeg31,tonelettersegment31
TnLtrSeg32,tonelettersegment32
TnLtrSeg33,tonelettersegment33
TnLtrSeg34,tonelettersegment34
TnLtrSeg35,tonelettersegment35
TnLtrSeg41,tonelettersegment41
TnLtrSeg42,tonelettersegment42
TnLtrSeg43,tonelettersegment43
TnLtrSeg44,tonelettersegment44
TnLtrSeg45,tonelettersegment45
TnLtrSeg51,tonelettersegment51
TnLtrSeg52,tonelettersegment52
TnLtrSeg53,tonelettersegment53
TnLtrSeg54,tonelettersegment54
TnLtrSeg55,tonelettersegment55
TnLtrDot1,toneletterdot1
TnLtrDot2,toneletterdot2
TnLtrDot3,toneletterdot3
TnLtrDot4,toneletterdot4
TnLtrDot5,toneletterdot5
FontBslnSideBrngMrkrLft,fontbaselinesbmarkleft
FontBslnSideBrngMrkrRt,fontbaselinesbmarkright
FontVertMetricsMrkrLft,fontverticalmetricsmarkleft
FontVertMetricsMrkrRt,fontverticalmetricsmarkright
BoxDotted,boxdotted
LtnSmLMidLftHook,lleftmidhook
ModSmLBelt,lbeltmod
LtnSmLCedilla,lcommaaccent
LtnSmLFishhook,lfishhook
LtnSmTMidLftHook,tleftmidhook
LtnSmLBeltPalHook,lbeltpalatalhook
ModSmTcDigraphCurl,tccurlmod
ModSmTsDigraph,tsmod
ModSmTsHook,tsretroflexhookmod
ModSmTeshDigraph,teshmod
LtnSmTeshRetrHook,teshhookretroflex
LtnSmTeshPalHook,teshpalatalhook
LtnSmTurnedTCurl,tturnedcurl
ModSmTurnedYBelt,yturnedbeltmod
ModSmTurnedY,yturnedmod
LtnSmTurnedYBelt,yturnedbelt
LtnCapEzhDep,Ezhdep.RevSigmaStyle
SupOne,onesuperior
VulgFracOneThird,onethird
CombAcute_Grave_AcuteDep,acutegraveacutecombdep
CombAcute_MacronDep,acutemacroncombdep
CombAlmostEqToBlwDep,almostequaltobelowcombdep
CombDblBreveBlwDep,doublebrevebelowcombdep
CombGrave_Acute_GraveDep,graveacutegravecombdep
CombGrave_MacronDep,gravemacroncombdep
CombLtnSmRBlwDep,rbelowcombdep
CombMacron_AcuteDep,macronacutecombdep
CombMacron_GraveDep,macrongravecombdep
CombSnakeBlwDep,snakebelowcombdep
CyCapElHookDep,Elhookdep-cy
CyCapGheDescDep,Gedescenderdep-cy
CyCapHaHookDep,Hahookdep-cy
CyCapHaStrkDep,Hastrokedep-cy
CyCapRevZeDep,Reversedzedep-cy
CyCapShhaDescDep,Shhadescenderdep-cy
CySmElHookDep,elhookdep-cy
CySmGheDescDep,gedescenderdep-cy
CySmHaHookDep,hahookdep-cy
CySmHaStrkDep,hastrokedep-cy
CySmRevZeDep,reversedzedep-cy
CySmShhaDescDep,shhadescenderdep-cy
DotLftStemTnLtr1Dep,extraLowDottedLeftStemToneBarmoddep
DotLftStemTnLtr2Dep,lowDottedLeftStemToneBarmoddep
DotLftStemTnLtr3Dep,midDottedLeftStemToneBarmoddep
DotLftStemTnLtr4Dep,highDottedLeftStemToneBarmoddep
DotLftStemTnLtr5Dep,extraHighDottedLeftStemToneBarmoddep
DotTnLtr1Dep,extraLowDottedToneBarmoddep
DotTnLtr2Dep,lowDottedToneBarmoddep
DotTnLtr3Dep,midDottedToneBarmoddep
