glyph_name,ps_name,sort_final_cdg,sort_final_a,assoc_feat_cdg,assoc_feat_a,assoc_feat_val,assoc_uids_cdg,assoc_uids_a,temp_usv,glyphsapp_name,to_review
.notdef,.notdef,0,0,,,,,,,.notdef,
.null,.null,1,1,,,,,,,.null,
nonmarkingreturn,nonmarkingreturn,2,2,,,,,,,nonmarkingreturn,
Space,space,3,3,,,,,,0020,space,
ExclamationMrk,exclam,4,4,,,,,,0021,exclam,
QuotMrk,quotedbl,5,5,,,,,,0022,quotedbl,
NumSgn,numbersign,6,6,,,,,,0023,numbersign,
DollarSgn,dollar,7,7,,,,,,0024,dollar,
PercentSgn,percent,8,8,,,,,,0025,percent,
Ampersand,ampersand,9,9,,,,,,0026,ampersand,
Apos,quotesingle,10,10,,,,,,0027,quotesingle,
LftParen,parenleft,11,11,,,,,,0028,parenleft,
RtParen,parenright,12,12,,,,,,0029,parenright,
Asterisk,asterisk,13,13,,,,,,002A,asterisk,
PlusSgn,plus,14,14,,,,,,002B,plus,
Comma,comma,15,15,,,,,,002C,comma,
HyphenMinus,hyphen,16,16,,,,,,002D,hyphen,
FullStop,period,17,17,,,,,,002E,period,
Solidus,slash,18,18,,,,,,002F,slash,
DigitZero,zero,19,19,,,,,,0030,zero,
DigitOne,one,20,20,,,,,,0031,one,
DigitTwo,two,21,21,,,,,,0032,two,
DigitThree,three,22,22,,,,,,0033,three,
DigitFour,four,23,23,,,,,,0034,four,
DigitFive,five,24,24,,,,,,0035,five,
DigitSix,six,25,25,,,,,,0036,six,
DigitSeven,seven,26,26,,,,,,0037,seven,
DigitEight,eight,27,27,,,,,,0038,eight,
DigitNine,nine,28,28,,,,,,0039,nine,
Colon,colon,29,29,,,,,,003A,colon,
Semicolon,semicolon,30,30,,,,,,003B,semicolon,
LTSgn,less,31,31,,,,,,003C,less,
EqSgn,equal,32,32,,,,,,003D,equal,
GTSgn,greater,33,33,,,,,,003E,greater,
QstnMrk,question,34,34,,,,,,003F,question,
AtSgn,at,35,35,,,,,,0040,at,
LtnCapA,A,36,36,,,,,,0041,A,
LtnCapB,B,37,37,,,,,,0042,B,
LtnCapC,C,38,38,,,,,,0043,C,
LtnCapD,D,39,39,,,,,,0044,D,
LtnCapE,E,40,40,,,,,,0045,E,
LtnCapF,F,41,41,,,,,,0046,F,
LtnCapG,G,42,42,,,,,,0047,G,
LtnCapH,H,43,43,,,,,,0048,H,
LtnCapI,I,44,44,,,,,,0049,I,
LtnCapJ,J,45,45,,,,,,004A,J,
LtnCapK,K,46,46,,,,,,004B,K,
LtnCapL,L,47,47,,,,,,004C,L,
LtnCapM,M,48,48,,,,,,004D,M,
LtnCapN,N,49,49,,,,,,004E,N,
LtnCapO,O,50,50,,,,,,004F,O,
LtnCapP,P,51,51,,,,,,0050,P,
LtnCapQ,Q,52,52,,,,,,0051,Q,
LtnCapR,R,53,53,,,,,,0052,R,
LtnCapS,S,54,54,,,,,,0053,S,
LtnCapT,T,55,55,,,,,,0054,T,
LtnCapU,U,56,56,,,,,,0055,U,
LtnCapV,V,57,57,,,,,,0056,V,
LtnCapW,W,58,58,,,,,,0057,W,
LtnCapX,X,59,59,,,,,,0058,X,
LtnCapY,Y,60,60,,,,,,0059,Y,
LtnCapZ,Z,61,61,,,,,,005A,Z,
LftSqrBrac,bracketleft,62,62,,,,,,005B,bracketleft,
ReverseSolidus,backslash,63,63,,,,,,005C,backslash,
RtSqrBrac,bracketright,64,64,,,,,,005D,bracketright,
CircumAccent,asciicircum,65,65,,,,,,005E,asciicircum,
LowLine,underscore,66,66,,,,,,005F,underscore,
GraveAccent,grave,67,67,,,,,,0060,grave,
LtnSmA,a,68,1010.14,,ss01,,,0061,0061,a,
LtnSmB,b,69,69,,,,,,0062,b,
LtnSmC,c,70,70,,,,,,0063,c,
LtnSmD,d,71,71,,,,,,0064,d,
LtnSmE,e,72,72,,,,,,0065,e,
LtnSmF,f,73,73,,,,,,0066,f,
LtnSmG,g,74,1610.1,,ss01,,,0067,0067,g,
LtnSmH,h,75,75,,,,,,0068,h,
LtnSmI,i,76,76,,,,,,0069,i,
LtnSmJ,j,77,77,,,,,,006A,j,
LtnSmK,k,78,78,,,,,,006B,k,
LtnSmL,l,79,79,,,,,,006C,l,
LtnSmM,m,80,80,,,,,,006D,m,
LtnSmN,n,81,81,,,,,,006E,n,
LtnSmO,o,82,82,,,,,,006F,o,
LtnSmP,p,83,83,,,,,,0070,p,
LtnSmQ,q,84,84,,,,,,0071,q,
LtnSmR,r,85,85,,,,,,0072,r,
LtnSmS,s,86,86,,,,,,0073,s,
LtnSmT,t,87,87,,,,,,0074,t,
LtnSmU,u,88,88,,,,,,0075,u,
LtnSmV,v,89,89,,,,,,0076,v,
LtnSmW,w,90,90,,,,,,0077,w,
LtnSmX,x,91,91,,,,,,0078,x,
LtnSmY,y,92,92,,,,,,0079,y,
LtnSmZ,z,93,93,,,,,,007A,z,
LftCurlyBrac,braceleft,94,94,,,,,,007B,braceleft,
VertLine,bar,95,95,,,,,,007C,bar,
RtCurlyBrac,braceright,96,96,,,,,,007D,braceright,
Tilde,asciitilde,97,97,,,,,,007E,asciitilde,
LtnCapADiaer,Adieresis,98,98,,,,,,00C4,Adieresis,
LtnCapARingAbv,Aring,99,99,,,,,,00C5,Aring,
LtnCapCCedilla,Ccedilla,100,100,,,,,,00C7,Ccedilla,
LtnCapEAcute,Eacute,101,101,,,,,,00C9,Eacute,
LtnCapNTilde,Ntilde,102,102,,,,,,00D1,Ntilde,
LtnCapODiaer,Odieresis,103,103,,,,,,00D6,Odieresis,
LtnCapUDiaer,Udieresis,104,104,,,,,,00DC,Udieresis,
LtnSmAAcute,aacute,105,105,,ss01,,,00E1,00E1,aacute,
LtnSmAGrave,agrave,106,106,,ss01,,,00E0,00E0,agrave,
LtnSmACircum,acircumflex,107,107,,ss01,,,00E2,00E2,acircumflex,
LtnSmADiaer,adieresis,108,108,,ss01,,,00E4,00E4,adieresis,
LtnSmATilde,atilde,109,109,,ss01,,,00E3,00E3,atilde,
LtnSmARingAbv,aring,110,110,,ss01,,,00E5,00E5,aring,
LtnSmCCedilla,ccedilla,111,111,,,,,,00E7,ccedilla,
LtnSmEAcute,eacute,112,112,,,,,,00E9,eacute,
LtnSmEGrave,egrave,113,113,,,,,,00E8,egrave,
LtnSmECircum,ecircumflex,114,114,,,,,,00EA,ecircumflex,
LtnSmEDiaer,edieresis,115,115,,,,,,00EB,edieresis,
LtnSmIAcute,iacute,116,116,,,,,,00ED,iacute,
LtnSmIGrave,igrave,117,117,,,,,,00EC,igrave,
LtnSmICircum,icircumflex,118,118,,,,,,00EE,icircumflex,
LtnSmIDiaer,idieresis,119,119,,,,,,00EF,idieresis,
LtnSmNTilde,ntilde,120,120,,,,,,00F1,ntilde,
LtnSmOAcute,oacute,121,121,,,,,,00F3,oacute,
LtnSmOGrave,ograve,122,122,,,,,,00F2,ograve,
LtnSmOCircum,ocircumflex,123,123,,,,,,00F4,ocircumflex,
LtnSmODiaer,odieresis,124,124,,,,,,00F6,odieresis,
LtnSmOTilde,otilde,125,125,,,,,,00F5,otilde,
LtnSmUAcute,uacute,126,126,,,,,,00FA,uacute,
LtnSmUGrave,ugrave,127,127,,,,,,00F9,ugrave,
LtnSmUCircum,ucircumflex,128,128,,,,,,00FB,ucircumflex,
LtnSmUDiaer,udieresis,129,129,,,,,,00FC,udieresis,
Dagger,dagger,130,130,,,,,,2020,dagger,
DegreeSgn,degree,131,131,,,,,,00B0,degree,
CentSgn,cent,132,132,,,,,,00A2,cent,
PoundSgn,sterling,133,133,,,,,,00A3,sterling,
SectionSgn,section,134,134,,,,,,00A7,section,
Bullet,bullet,135,135,,,,,,2022,bullet,
PilcrowSgn,paragraph,136,136,,,,,,00B6,paragraph,
LtnSmSharpS,germandbls,137,137,,,,,,00DF,germandbls,
RegisteredSgn,registered,138,138,,,,,,00AE,registered,
CopyrightSgn,copyright,139,139,,,,,,00A9,copyright,
TradeMrkSgn,trademark,140,140,,,,,,2122,trademark,
AcuteAccent,acute,141,141,,,,,,00B4,acute,
Diaer,dieresis,142,142,,,,,,00A8,dieresis,
NotEqTo,notequal,143,143,,,,,,2260,notequal,
LtnCapAe,AE,144,144,,,,,,00C6,AE,
LtnCapOStrk,Oslash,145,145,,,,,,00D8,Oslash,
Infinity,infinity,146,146,,,,,,221E,infinity,
PlusMinusSgn,plusminus,147,147,,,,,,00B1,plusminus,
LTOrEqTo,lessequal,148,148,,,,,,2264,lessequal,
GTOrEqTo,greaterequal,149,149,,,,,,2265,greaterequal,
YenSgn,yen,150,150,,,,,,00A5,yen,
MicroSgn,mu,151,151,,,,,,00B5,micro,
PartialDiff,partialdiff,152,152,,,,,,2202,partialdiff,
NArySummation,summation,153,153,,,,,,2211,summation,
NAryProduct,product,154,154,,,,,,220F,product,
GrSmPi,pi,155,155,,,,,,03C0,pi,
Integral,integral,156,156,,,,,,222B,integral,
FemOrdIndicator,ordfeminine,157,157,,ss01,,,00AA,00AA,ordfeminine,
MascOrdIndicator,ordmasculine,158,158,,,,,,00BA,ordmasculine,
OhmSgn,Omega,159,159,,,,,,2126,Ohm,
LtnSmAe,ae,160,160,,,,,,00E6,ae,
LtnSmOStrk,oslash,161,161,,,,,,00F8,oslash,
InvQstnMrk,questiondown,162,162,,,,,,00BF,questiondown,
InvExclamationMrk,exclamdown,163,163,,,,,,00A1,exclamdown,
